,0,1,2
0,2.3685100078582764,0.04,0.02
1,4.474842309951782,1531.70,1.32
2,6.574774265289307,1567.17,2.49
3,8.676604509353638,1529.14,3.18
4,10.803858757019043,1500.34,3.93
5,12.89810562133789,1512.82,4.61
6,15.003519296646118,1203.47,4.61
7,17.07949995994568,1206.87,4.65
8,19.16358780860901,1205.55,4.61
9,21.243751287460327,1206.83,4.58
10,23.31320333480835,1238.36,4.56
11,25.37818479537964,1212.75,4.56
12,27.440661668777466,1204.53,4.57
13,29.51409935951233,1211.01,4.65
14,31.573904991149902,1202.01,5.01
15,33.630027532577515,1202.96,5.47
16,35.69530630111694,1203.35,5.77
17,37.76056623458862,1207.31,6.07
18,39.82891511917114,1192.96,6.34
19,41.95564889907837,1447.80,7.01
20,44.058857917785645,1394.18,7.54
21,46.14979791641235,1545.59,8.61
22,48.238810777664185,1559.02,9.49
23,50.34642791748047,1551.94,10.35
24,53.48357677459717,1563.74,11.48
25,55.57391548156738,1546.24,12.43
26,58.69592523574829,1559.27,13.38
27,60.8204345703125,1545.34,14.04
28,64.00196290016174,1458.12,14.96
29,66.10282325744629,1364.95,15.62
30,68.2560522556305,1541.94,16.50
31,71.38283562660217,1503.73,17.47
32,73.47274732589722,1462.72,17.83
33,75.56119561195374,1407.83,16.42
34,77.68515181541443,1511.14,15.02
35,79.80033779144287,1500.44,15.21
36,81.9128794670105,1380.58,13.81
37,83.97692513465881,813.50,6.13
38,86.05188345909119,0.00,0.00
