,0,1,2
1,4.102351665496826,1471.77,0.96
2,6.195690393447876,1566.29,2.25
3,8.296666860580444,1551.59,3.13
4,10.399802923202515,1509.11,3.73
5,12.543547868728638,1497.75,4.43
6,15.617179155349731,1210.93,4.70
7,17.707804679870605,1199.78,4.73
8,19.784404754638672,1202.74,4.60
9,21.862708806991577,1207.29,4.54
10,23.93900752067566,1207.63,4.53
11,26.001939058303833,1212.10,4.54
12,28.065003633499146,1105.39,4.60
13,30.13724446296692,1208.17,4.79
14,32.21048927307129,1206.17,5.16
15,34.27552318572998,1205.21,5.56
16,36.34369993209839,1203.58,5.85
17,38.417006492614746,1210.29,6.15
18,40.478410959243774,1265.20,6.58
19,42.574196100234985,1413.23,7.19
20,44.677826166152954,1515.97,7.89
21,46.787315368652344,1552.92,8.90
22,48.874446868896484,1549.71,9.97
23,50.98684620857239,1565.10,10.87
24,54.127018213272095,1558.16,12.24
25,57.21259617805481,1509.38,9.61
26,59.29714632034302,1497.74,10.19
27,61.38709855079651,1031.81,8.29
28,63.456982135772705,960.16,8.96
29,65.53444623947144,1118.19,8.28
30,67.60017228126526,889.76,8.63
31,69.66165542602539,778.75,8.83
32,71.73949933052063,1098.91,9.00
33,73.80127191543579,733.01,7.55
34,76.04183650016785,0.00,0.00
