,0,1,2
0,1.8010766506195068,0.02,0.02
1,3.8539583683013916,765.59,0.60
2,5.912649869918823,924.69,1.13
3,7.979330539703369,797.31,1.51
4,10.039690971374512,400.04,1.48
5,12.108249425888062,400.20,1.49
6,14.17260217666626,402.42,1.46
7,16.24480175971985,403.67,1.43
8,18.315898418426514,401.01,1.43
9,20.381572484970093,400.61,1.43
10,22.443575620651245,411.99,1.44
11,24.508370876312256,402.78,1.69
12,26.573807954788208,404.00,1.83
13,28.64470624923706,401.76,1.94
14,30.695757389068604,401.56,2.08
15,32.755340337753296,664.39,2.55
16,34.820929288864136,807.56,3.15
17,36.887784481048584,861.01,3.80
18,38.95286321640015,906.38,4.28
19,41.00989079475403,675.75,4.58
20,43.06666040420532,429.57,4.85
21,45.1305787563324,587.17,5.38
22,47.193421602249146,581.99,5.67
23,49.25749397277832,612.98,5.79
24,51.321542739868164,715.00,5.88
25,53.38922190666199,646.44,5.93
26,55.45582151412964,0.00,0.00
