,0,1,2
0,2.2195944786071777,0.02,0.02
1,4.285503387451172,846.06,0.70
2,6.351555585861206,880.89,1.23
3,8.417577028274536,689.58,1.55
4,10.483137845993042,402.11,1.54
5,12.54946494102478,402.80,1.53
6,14.619765520095825,400.25,1.49
7,16.691784381866455,397.98,1.49
8,18.756481170654297,401.53,1.49
9,20.817708492279053,400.72,1.49
10,22.88101816177368,406.48,1.68
11,24.946666479110718,382.98,1.81
12,27.010721683502197,413.36,1.92
13,29.073814153671265,400.17,2.05
14,31.136401414871216,568.91,2.42
15,33.20257520675659,681.60,2.61
16,35.26322865486145,683.94,3.37
17,37.331833600997925,849.05,4.06
18,39.39998650550842,0.00,0.00
