,0,1,2
0,2.6537864208221436,0.00,0.00
1,4.756626844406128,1368.60,1.30
2,6.885448217391968,1422.83,2.11
3,8.963557481765747,1362.06,2.73
4,11.02311372756958,842.24,3.13
5,13.08277940750122,804.10,3.16
6,15.140031099319458,805.31,2.93
7,17.20141577720642,802.75,2.91
8,19.259441137313843,798.80,2.91
9,21.32479977607727,804.56,2.91
10,23.382479667663574,804.61,2.97
11,25.438535690307617,833.38,3.12
12,27.49393582344055,807.49,3.54
13,29.554134368896484,803.93,3.78
14,31.615398645401,799.30,3.97
15,33.67428374290466,797.98,4.20
16,35.73027753829956,967.28,4.72
17,37.82615661621094,1263.26,5.50
18,39.92627239227295,1479.71,6.53
19,42.02102565765381,1469.24,7.31
20,44.11911129951477,1514.51,8.13
21,46.2257878780365,1432.82,9.00
22,48.305909395217896,1322.44,9.38
23,50.37389087677002,1158.93,10.07
24,52.45663094520569,1204.35,10.70
25,54.54115867614746,1234.01,11.35
26,56.62571573257446,1216.37,11.69
27,58.702723264694214,1124.21,11.80
28,60.780855894088745,1414.94,11.91
29,62.863784313201904,1224.50,0.78
30,65.96381330490112,0.00,0.00
