,0,1,2
0,2.0606086254119873,0.00,0.00
1,4.123587608337402,819.27,0.62
2,6.18719220161438,905.51,1.16
3,8.246292352676392,712.64,1.54
4,10.30212664604187,396.65,1.54
5,12.371647119522095,397.47,1.55
6,14.435852289199829,400.43,1.50
7,16.507684230804443,399.96,1.50
8,18.573212385177612,411.80,1.50
9,20.642172813415527,405.99,1.50
10,22.708147764205933,403.18,1.61
11,24.772666215896606,401.03,1.77
12,26.839249849319458,400.42,1.91
13,28.908027172088623,401.07,2.03
14,30.9756760597229,439.62,2.24
15,33.04117178916931,678.18,2.77
16,35.110408544540405,826.27,3.22
17,37.17885732650757,931.31,3.83
18,39.23908734321594,791.17,4.26
19,41.30515217781067,683.57,4.88
20,43.374178886413574,488.75,3.93
21,45.44701075553894,306.23,2.86
22,47.51485538482666,286.36,2.93
23,49.583313941955566,414.79,2.98
24,51.65241837501526,345.42,3.05
25,53.72223401069641,0.00,0.00
