,0,1,2
0,2.6278984546661377,0.00,0.00
1,4.730264186859131,1345.04,1.29
2,6.848279237747192,1475.28,2.11
3,8.926285982131958,1352.29,2.71
4,11.00425934791565,898.65,3.12
5,13.060006856918335,804.23,3.16
6,15.119064331054688,803.99,2.93
7,17.174490690231323,800.46,2.89
8,19.231201648712158,806.34,2.89
9,21.289382219314575,803.95,2.89
10,23.345406532287598,816.61,2.93
11,25.401691436767578,811.08,3.25
12,27.459874868392944,804.09,3.57
13,29.517035722732544,800.72,3.78
14,31.572487592697144,800.11,4.00
15,33.628665924072266,857.35,4.37
16,35.70726752281189,1143.03,5.14
17,37.79336380958557,1364.32,5.53
18,39.89507055282593,1401.80,6.59
19,41.97647142410278,1435.98,7.87
20,44.07230186462402,1471.08,8.96
21,46.137492656707764,923.31,2.75
22,48.20825695991516,596.85,3.48
23,50.28451204299927,0.00,0.00
