,0,1,2
0,2.3406975269317627,0.00,0.00
1,4.419602394104004,1337.64,1.17
2,6.507528305053711,1435.47,2.07
3,8.604188680648804,1396.86,2.68
4,10.688507080078125,1116.26,3.21
5,12.744358777999878,808.09,3.28
6,14.805409669876099,802.88,3.11
7,16.858699321746826,803.76,3.07
8,18.920567750930786,801.25,3.07
9,20.977377891540527,812.27,3.07
10,23.038759469985962,801.18,3.07
11,25.089613914489746,805.04,3.23
12,27.14930772781372,807.93,3.54
13,29.207113027572632,802.74,3.79
14,31.261824131011963,802.05,3.99
15,33.32524871826172,802.53,4.23
16,35.38265800476074,1043.68,4.82
17,37.45823955535889,1234.21,5.40
18,39.55745720863342,1454.03,6.20
19,41.662954807281494,1476.77,7.25
20,43.754703760147095,1475.53,7.96
21,45.83930015563965,1454.75,8.99
22,47.90344166755676,1027.57,6.99
23,49.95932102203369,866.93,6.29
24,52.023173570632935,715.66,6.89
25,54.08199501037598,527.60,5.80
26,56.13929748535156,657.34,5.97
27,58.203436851501465,789.74,6.06
28,60.272417306900024,533.27,6.12
29,62.34834551811218,0.00,0.00
